id,code,name,price,up_down_rate,up_down,up_rate,change_rate,quantity_rate,amplitude_rate,transaction,circulating,circulation_market,pe_ratio
105,2514,宝馨科技,8.17,7.08,0.54,0,5.46,5.04,9.96,2.46亿,5.54亿,45.26亿,561.07
106,688129,东来技术,15.75,7.07,1.04,0.13,8.21,7.03,7.75,5274.27万,4143.00万,6.53亿,121.78
107,603616,韩建河山,6.21,7.07,0.41,0,12.09,3.74,10.69,2.84亿,3.81亿,23.68亿,亏损
108,936,华西股份,9.11,7.05,0.6,0,8.64,2.88,7.64,6.86亿,8.86亿,80.70亿,90.94
109,300545,联得装备,25.05,7.05,1.65,-0.08,6.53,1.88,6.97,1.79亿,1.12亿,28.04亿,28.63
110,688080,映翰通,39.21,7.04,2.58,0.26,1.82,1.12,7.94,5109.77万,7360.15万,28.86亿,30.99
111,688079,美迪凯,10.49,7.04,0.69,0.19,3.69,0.67,7.55,6751.67万,1.78亿,18.68亿,亏损
112,688182,灿勤科技,20.64,7,1.35,0.34,4.84,1.17,9.28,9363.07万,9600.00万,19.81亿,190.88
113,2315,焦点科技,29.53,6.99,1.93,0.1,6.9,3.35,8.52,3.95亿,1.97亿,58.28亿,24.28
114,688207,格灵深瞳,20.75,6.96,1.35,0.05,3.17,1.79,7.47,1.13亿,1.75亿,36.31亿,1270.16
115,603766,隆鑫通用,5.86,6.93,0.38,0,2.69,3.22,7.48,3.18亿,20.54亿,120.34亿,11.99
116,818,航锦科技,33.8,6.89,2.18,0.18,1.82,2.23,7.81,4.05亿,6.77亿,228.95亿,188.84
117,300499,高澜股份,13.35,6.89,0.86,0,8.22,1.14,9.21,2.92亿,2.73亿,36.40亿,亏损
118,2530,金财互联,9.03,6.86,0.58,0.22,8.01,2,8.28,4.82亿,6.80亿,61.44亿,亏损
119,688195,腾景科技,37,6.84,2.37,0.08,8.53,1.2,8.66,2.55亿,8184.00万,30.28亿,117.36
120,688027,国盾量子,131.99,6.8,8.41,-0.2,1.51,2.64,7.22,1.54亿,7895.19万,104.21亿,亏损
121,688216,气派科技,25.98,6.78,1.65,-0.04,3.27,2.31,7.36,3611.15万,4380.00万,11.38亿,亏损
122,688435,英方软件,62.15,6.75,3.93,0,5.86,1.41,7.13,6567.70万,1841.26万,11.44亿,亏损
123,600560,金自天正,13.45,6.75,0.85,-0.07,6.2,2.92,10.32,1.86亿,2.24亿,30.08亿,84.84
124,2765,蓝黛科技,6.65,6.74,0.42,0.15,9.75,3.26,10.59,3.23亿,5.01亿,33.31亿,42.35
125,300654,世纪天鸿,9.99,6.73,0.63,0,4.75,2.46,8.12,1.51亿,3.23亿,32.27亿,241.5
126,300870,欧陆通,46.71,6.67,2.92,0,1.8,1.71,8.43,8310.98万,1.01亿,47.27亿,284.55
127,688629,华丰科技,22.92,6.65,1.43,0.26,10.06,1.94,8.89,1.23亿,5475.01万,12.55亿,140.33
128,605289,罗曼股份,32.08,6.65,2,0.25,4.34,2.48,8.58,6873.84万,5061.00万,16.24亿,49.44
129,300826,测绘股份,16.53,6.64,1.03,0,6.03,0.94,8.26,1.35亿,1.39亿,22.97亿,100.1
130,300007,汉威科技,16.86,6.64,1.05,0,6.73,2.83,9.11,3.12亿,2.82亿,47.54亿,39.33
131,300245,天玑科技,8.68,6.63,0.54,-0.23,6.59,1.37,7.12,1.74亿,3.11亿,26.99亿,亏损
132,2902,铭普光磁,28.31,6.63,1.76,0.04,36.33,1.17,12.13,15.13亿,1.49亿,42.32亿,331.5
133,300678,中科信息,33.3,6.63,2.07,0,8.97,2.25,8.84,8.38亿,2.84亿,94.58亿,314.95
134,300615,欣天科技,17.05,6.56,1.05,-0.06,6.11,1.1,7.5,1.32亿,1.29亿,22.05亿,28.01
135,2976,瑞玛精密,33.25,6.54,2.04,0.03,7.82,1.11,10.73,1.63亿,6464.22万,21.49亿,38.85
136,300533,冰川网络,28.4,6.53,1.74,0.07,6.91,2.65,7.16,3.11亿,1.62亿,45.95亿,20.22
137,301132,满坤科技,28.65,6.51,1.75,0,7.26,1.27,7.06,8689.78万,4300.55万,12.32亿,42.29
138,301310,鑫宏业,54.19,6.49,3.3,0,6.55,2.09,7.55,7664.05万,2209.71万,11.97亿,35.58
139,300788,中信出版,27.12,6.44,1.64,0.04,2.37,2.68,7.42,1.20亿,1.90亿,51.57亿,28.38
140,300130,新国都,22.33,6.43,1.35,0.09,5.55,2.52,8.34,4.97亿,4.06亿,90.67亿,18.13
141,603662,柯力传感,31.93,6.43,1.93,0.16,5.24,1.62,9.67,4.60亿,2.81亿,89.67亿,32.21
142,300364,中文在线,13.59,6.42,0.82,-0.07,6.92,2.53,7.2,6.10亿,6.60亿,89.67亿,亏损
143,600846,同济科技,9.8,6.41,0.59,0,2.06,2.54,7.17,1.23亿,6.25亿,61.23亿,15.47
144,2837,英维克,26.43,6.4,1.59,0.19,2.55,1.38,7.17,3.18亿,4.82亿,127.44亿,81.24
145,688362,甬矽电子,30.31,6.39,1.82,0.17,8.36,1.23,7.51,1.18亿,4800.00万,14.55亿,亏损
146,301363,美好医疗,33.26,6.36,1.99,0,14.89,1.97,8.15,1.95亿,4026.05万,13.39亿,28.07
147,300592,华凯易佰,24.83,6.34,1.48,0.16,2.52,2.32,7.02,9659.54万,1.58亿,39.13亿,17.26
148,688409,富创精密,90.62,6.32,5.39,-0.02,3.17,1.31,7.43,1.32亿,4675.40万,42.37亿,99
149,833533,骏创科技,16.03,6.3,0.95,0,1.52,1.73,6.5,804.47万,3358.32万,5.38亿,17.69
150,300520,科大国创,20.25,6.3,1.2,0.05,3.47,1.8,7.24,1.60亿,2.33亿,47.14亿,53.61
151,3015,日久光电,14.02,6.29,0.83,-2.1,58.4,2.41,12.13,16.01亿,1.94亿,27.15亿,1074.98
152,301041,金百泽,27.38,6.29,1.62,0.26,6.58,1.5,7.3,1.08亿,6151.95万,16.84亿,77.79
153,3004,声迅股份,27.05,6.29,1.6,0,6.43,3.74,6.8,5746.67万,3364.10万,9.10亿,亏损
154,300098,高新兴,3.72,6.29,0.22,0.54,4.97,2.12,8.29,2.76亿,15.40亿,57.30亿,亏损
155,603196,日播时尚,17.59,6.28,1.04,0.17,1.87,2.03,8.34,7699.01万,2.38亿,41.84亿,399.91
156,601059,信达证券,17.93,6.28,1.06,0.11,22.97,3.18,7.76,13.16亿,3.24亿,58.15亿,39.87
157,600071,凤凰光学,18.65,6.27,1.1,0,2.07,3.16,8.32,1.07亿,2.82亿,52.51亿,亏损
158,688320,禾川科技,37.65,6.27,2.22,1.02,7.23,2.88,10.89,2.23亿,8576.78万,32.29亿,56.84
159,603052,可川科技,29.53,6.26,1.74,-0.07,5.67,3.07,6.73,3928.51万,2408.00万,7.11亿,34.17
160,300766,每日互动,15.87,6.22,0.93,-0.06,5.12,1.63,7.5,2.90亿,3.64亿,57.70亿,399.67
161,301282,金禄电子,26.21,6.2,1.53,-0.04,3.51,1.56,6.97,6491.68万,7214.00万,18.91亿,68.91
162,688539,高华科技,41.3,6.2,2.41,0.1,4.17,2.03,7.1,4747.44万,2822.73万,11.66亿,68.05
163,688160,步科股份,61.72,6.18,3.59,0.03,11.73,1.27,8.12,1.96亿,2771.69万,17.11亿,82.71
164,688590,新致软件,17.88,6.18,1.04,0.17,3.65,1.55,6.71,1.03亿,1.61亿,28.78亿,78.52
165,2912,中新赛克,32.59,6.16,1.89,0.34,2.51,1.98,7.33,1.30亿,1.62亿,52.87亿,37.69
166,676,智度股份,6.04,6.15,0.35,0,2.75,2.65,7.03,2.07亿,12.75亿,77.00亿,44.46
167,300504,天邑股份,21.31,6.13,1.23,-0.05,15.12,2.1,12.2,6.50亿,2.15亿,45.79亿,30.47
168,2876,三利谱,30.5,6.12,1.76,0.07,1.8,1.81,6.89,7946.62万,1.49亿,45.36亿,110.74
169,300426,唐德影视,10.4,6.12,0.6,-0.1,2.6,1.3,8.37,1.06亿,3.97亿,41.28亿,亏损
170,2230,科大讯飞,49.45,6.12,2.85,0,4.3,2.16,7.58,44.54亿,21.28亿,1052.21亿,778.22
171,688260,昀冢科技,17.71,6.05,1.01,0,1.94,1.34,7.37,2276.60万,6811.63万,12.06亿,亏损
172,300802,矩子科技,19.15,6.04,1.09,0.21,1.94,2.35,6.53,6933.18万,1.90亿,36.46亿,73.07
173,688258,卓易信息,62.53,6.02,3.55,0,3.06,1.17,8.73,1.62亿,8695.66万,54.37亿,53.6
174,688228,开普云,40.11,6,2.27,0.08,2.91,2.12,6.37,7715.00万,6751.82万,27.08亿,亏损
175,605168,三人行,68.88,5.99,3.89,0.03,1.76,1.96,7.22,1.74亿,1.46亿,100.69亿,23.3
176,688158,优刻得-W,15.76,5.99,0.89,0,3.29,1.8,6.93,1.81亿,3.55亿,56.01亿,亏损
177,301202,朗威股份,36.51,5.98,2.06,0.08,20.71,1.88,7.43,2.41亿,3231.01万,11.80亿,80.15
178,688322,奥比中光-UW,29.68,5.96,1.67,0.03,2.66,1.36,6.78,1.69亿,2.19亿,64.97亿,亏损
179,300475,香农芯创,29.7,5.96,1.67,0,4.51,0.79,8.13,5.78亿,4.40亿,130.75亿,38.49
180,301272,英华特,64.02,5.94,3.59,-0.13,11.26,2.71,10.24,1.00亿,1387.51万,8.88亿,49.45
181,688697,纽威数控,21.86,5.91,1.22,0.05,4.05,1.71,6.54,7095.62万,8166.67万,17.85亿,23.47
